"video_key","cell_id","curv_moment_speed","curv_tracked_speed","neigh_min_dist","population_type","uni_id"
134,11,89.7408952566579,73.8084160962235,477.087210204976,"Colonisation","8:5"
134,14,139.441751822996,75.2060103916951,52.5943923854898,"Colonisation","8:5"
134,16,125.639858255933,112.381830995984,51.1271622262046,"Colonisation","8:5"
134,17,149.487899859539,69.0349628419359,62.4218931584771,"Colonisation","8:5"
134,18,111.383036715552,55.794881096985,110.870377513143,"Colonisation","8:5"
134,20,75.6430830530546,138.943554308466,115.061918191608,"Colonisation","8:5"
134,21,132.280150885778,80.925422063029,196.983211970387,"Colonisation","8:5"
134,333,205.763357009022,121.591794770602,115.147560651123,"Colonisation","8:5"
134,402,130.897280824935,50.7014360023185,22.2469132220305,"Colonisation","8:5"
134,403,55.7591327003145,86.5471231827072,12.9202745870357,"Colonisation","8:5"
134,406,104.990323125982,55.5236034692186,5.19560628110452,"Colonisation","8:5"
134,407,88.0809226007682,51.5887107395075,5.18784398602255,"Colonisation","8:5"
134,408,162.533494554598,78.2211266120502,2.34143655245584,"Colonisation","8:5"
134,409,137.201380270179,55.4957372087862,52.6910240531341,"Colonisation","8:5"
134,92,111.200218272223,108.21112532221,9.10554887516117,"Colonisation","8:5"
137,1,160.868446964943,60.8686525075622,249.972418081252,"Colonisation","8:2"
137,10,149.556719731947,81.7558559575041,317.766836900408,"Colonisation","8:2"
137,11,194.168640811303,107.084865349428,66.5923014463412,"Colonisation","8:2"
137,205,151.051435490055,97.5820046532587,308.239313032631,"Colonisation","8:2"
137,229,113.30794250341,61.2082042367092,34.1481268690409,"Colonisation","8:2"
137,230,111.216632648256,62.6862250184845,33.5162818567263,"Colonisation","8:2"
137,66,104.748119904165,86.8371855157975,38.2924140582144,"Colonisation","8:2"
137,8,88.5243272636647,42.5606384773069,206.669247324239,"Colonisation","8:2"
137,9,108.204684541775,74.7622080574812,164.536081980435,"Colonisation","8:2"
142,1,162.685397214072,60.6619395656727,30.2825013611696,"Colonisation","8:6"
142,10,166.672329473209,77.9522858529207,34.2213623196146,"Colonisation","8:6"
142,11,166.27072807358,61.9069223424471,88.5893444656771,"Colonisation","8:6"
142,14,213.225707546731,120.695321645363,56.4090749041402,"Colonisation","8:6"
142,3,120.381791210752,87.4310071000188,48.3631115432786,"Colonisation","8:6"
142,328,132.842586079924,48.7967322238379,165.361551591211,"Colonisation","8:6"
142,4,39.4138825780553,93.7357445631177,188.625535296517,"Colonisation","8:6"
142,421,146.907586704622,70.0932228289775,46.4359690559003,"Colonisation","8:6"
142,422,123.906544426155,62.9309639453358,55.0033145161945,"Colonisation","8:6"
142,423,118.906101506652,80.1905353763594,76.8465014957126,"Colonisation","8:6"
142,424,87.5684898298409,55.6647124546312,82.6014356601757,"Colonisation","8:6"
142,426,64.1606211357806,114.441034955375,127.602859921711,"Colonisation","8:6"
142,427,88.7741115940965,69.1835229409571,33.7395960107004,"Colonisation","8:6"
142,428,118.779294650207,61.9247574437623,57.6285245420995,"Colonisation","8:6"
142,431,181.267179821429,124.578226742953,2.50863421675563,"Colonisation","8:6"
142,432,182.346993939359,132.896742587764,10.7208310254422,"Colonisation","8:6"
142,433,121.077422820022,118.069900079067,4.96628229655253,"Colonisation","8:6"
142,434,149.200599515403,136.463596741607,3.87260091494582,"Colonisation","8:6"
142,5,72.6601477729959,40.7618291819442,123.443540684019,"Colonisation","8:6"
142,59,138.836788724924,178.3902130591,39.9549047410879,"Colonisation","8:6"
142,7,133.025646879493,91.9806668230633,28.9094372531339,"Colonisation","8:6"
142,8,115.449555491939,65.2529193256771,142.158147856817,"Colonisation","8:6"
142,9,104.744801513359,83.4000966016645,73.9644034440704,"Colonisation","8:6"
143,1,167.444183804259,81.4863251384438,6.57156120412467,"Colonisation","8:6"
143,14,132.822536253535,78.2952930769728,30.0938676017864,"Colonisation","8:6"
143,17,113.306435994642,71.2590763235182,83.9710935950995,"Colonisation","8:6"
143,18,116.866558674015,55.9861289190552,198.974076495059,"Colonisation","8:6"
143,19,180.09170368004,87.3559504324677,27.4031044874201,"Colonisation","8:6"
143,20,131.066213512643,82.2225744631788,70.1636769109911,"Colonisation","8:6"
143,21,124.538702036154,72.6871334229968,13.3365506613294,"Colonisation","8:6"
143,22,96.797172172267,62.6427554673067,29.5154453968242,"Colonisation","8:6"
143,24,78.3917213968666,77.7873585596522,133.223247475885,"Colonisation","8:6"
143,319,98.5813854361594,51.2772659671411,21.5511529301109,"Colonisation","8:6"
143,533,112.964680953707,79.5913253203024,8.09728382081541,"Colonisation","8:6"
143,534,161.94125195623,75.5255763497169,27.6912044638115,"Colonisation","8:6"
143,535,193.84542970943,105.286066812108,34.4759112854016,"Colonisation","8:6"
143,537,115.798782530884,62.8610739320725,20.3061343639832,"Colonisation","8:6"
143,539,145.319730029382,63.9379955604307,3.09797872142571,"Colonisation","8:6"
143,540,146.153132219907,86.6844578925399,3.09711169072514,"Colonisation","8:6"
143,541,159.118796072991,79.2776523967066,3.00867671937405,"Colonisation","8:6"
143,542,125.771389809645,55.722214710542,7.92847221538946,"Colonisation","8:6"
143,543,205.662627157065,99.0185390821532,2.32387905237421,"Colonisation","8:6"
143,544,163.565106223517,92.3515822933035,1.99591856960391,"Colonisation","8:6"
143,65,95.0736179367031,50.2195248533688,26.7641900566295,"Colonisation","8:6"
143,94,137.866032617583,62.6415666401758,23.9458484526742,"Colonisation","8:6"
144,11,106.768043885652,51.6071163697525,117.751635933386,"Colonisation","8:6"
144,12,117.785776734467,50.0885885035918,35.9856166905216,"Colonisation","8:6"
